Actor,Movies
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Mickey Rourke,"Rumble Fish, Girl, 9½ Weeks, Johnny Handsome, Diner, WEAPONiZED, Out in Fifty, Nightmare Cinema, Shades, The Wrestler, Immortals, Ashby, The Pope of Greenwich Village, Point Blank, Java Heat, Killshot, War Pigs, Skin Traffik, Bob Lazar: Area 51 & Flying Saucers, Buffalo '66, Domino, Passion Play, The Informers, Desperate Hours, Bullet, Picture Claire, Exit in Red, Francesco, Wild Orchid, Homeboy, Bisping, Double Team, Another Nine & a Half Weeks, Angel Heart, Iron Man 2, Blunt Force Trauma, Harley Davidson and the Marlboro Man, Sin City, Alex Rider: Operation Stormbreaker, White Sands, Year of the Dragon, Generation Iron, Night Walk, Tiger, The Good Son: The Life of Ray Boom Boom Mancini, Barfly, F.T.W., A Prayer for the Dying, Sin City: A Dame to Kill For"
Louis Mandylor,"Criminal Affairs, White Rush, Adventures of a Pizza Guy, Saturday Morning, The Brave, Renegade Force, Double Deception, Daylight's End, The Matadors, Champions, Escape from Ensenada, Bare Knuckles, Dirty Dead Con Men, The Cursed, In the Eyes of a Killer, Code of Honor, The Debt Collector, Jimmy Bones, The Mercenary, Blindsided, Tension(s), Enemy Action, The Mourning, Astro, Battle Drone, The Prometheus Project, The Debt Collector 2, Jack of Hearts, Gerald, No Time to Fear, Larceny, Night Walk, Legacy of the Tengu, The Sex Trip"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Denise Richards,"Altitude, Undercover Brother, Good Advice, Starship Troopers, Finding Bliss, Madea's Witness Protection, Valentine, Reality Queen!, The Life: What's Your Pleasure?, The World Is Not Enough, Blonde and Blonder, Drop Dead Gorgeous, The Toybox, Destined to Ride, Tammy and the T-Rex, 1st Born, My Adventures with Santa, You Stupid Man, The Third Wheel, Incredible Love, Saturday at the Starlight, Empire, Wild Things, Operation: Neighborhood Watch!, American Violence, A Life Lived"
Akshay Kumar,"Suhaag, Dosti: Friends Forever, De Dana Dan, Dancer, Sabse Bada Khiladi, Aitraaz, Good Newwz, Good News, Tashan, Mohra, Humko Deewana Kar Gaye, OMG: Oh My God!, Ikke Pe Ikka, Khiladi 786, Dil Ki Baazi, Awara Paagal Deewana, Housefull 2, Garam Masala, Nazar Ke Samne, Holiday, Joker, Haan Maine Bhi Pyaar Kiya, Singh Is Bliing, Mission Mangal, Main Khiladi Tu Anari, Chandni Chowk to China, Insaaf: The Final Justice, Aan: Men at Work, Insan, Action Replay, The Blue Elephant, Phir Hera Pheri, Hera Pheri, Ashaant, Jaani Dushman: Ek Anokhi Kahani, Aadhar, Padman, Special 26, Aarzoo, Khiladiyon Ka Khiladi, Meri Biwi Ka Jawab Nahin, Namastey London, Laxmmi Bomb, Deedar, Sooryavanshi, Airlift, Gabbar is Back, Ajnabee, Waqt: The Race Against Time, Desi Boyz, Waqt Hamara Hai, Keemat: They Are Back, Housefull, Bhagam Bhag, Saugandh, Deewane Huye Paagal, Tees Maar Khan, Baby, Khatta Meetha, Prithviraj, Once Upon a Time in Mumbai Dobaara!, Ab Tumhare Hawale Watan Saathiyo, Paandav, International Khiladi, Family: Ties of Blood, Gold, Police Force: An Inside Story, Daava, 8 x 10 Tasveer, Zakhmi Dil, Hatya: The Murder, Chundadi Ni Laaj, Talaash: The Hunt Begins..., Sangharsh, 2.0, Thank You, Mr. & Mrs. Khiladi, Bewafaa, Bhool Bhulaiyaa, Khiladi, Barood, Mere Jeevan Saathi, Lahoo Ke Do Rang, Blue, Khakee, Boss, Jai Kishen, Style, Rules and Regulations, Dil To Pagal Hai, Yeh Dillagi, It's Entertainment, Zaalim, Tarazu, Aankhen, Patiala House, Tu Chor Main Sipahi, Zulmi, Jaanwar, Welcome, Brothers, Jaan-E-Mann: Let's Fall in Love... Again, Kesari, Aflatoon, Mujhse Shaadi Karogi, Angaaray, Toilet - Ek Prem Katha, Rustom, Jaane Kahan Se Aayi Hai, Naam Shabana, Sapoot, Bond of Love, Heyy Babyy, Housefull 4, Singh Is King, Rowdy Rathore, Jolly LLB 2, Khiladi 420, Mr. Bond, Maidan-E-Jung, Dhadkan, Housefull 3, Incredible Love, Sainik, Amaanat, Chalo Dilli, Elaan, The Shaukeens, Hum Hain Bemisaal, Bachchan Pandey"
Jacqueline Fernandez,"According to Mathew, Race 3, Kick, Definition of Fear, Brothers, Judwaa 2, A Flying Jatt, Dishoom, Drive, Jaane Kahan Se Aayi Hai, A Gentleman, Aladin, Dancing Dad, Saaho, Murder 2, Housefull 2, Roy, Kick 2, Bangistan"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Yasiin Bey,"Number One with a Bullet, The Woodsman, Where's Marlowe?, Juvies, Next Day Air, Life of Crime, Be Kind Rewind, Bury Me Standing, Prince Among Slaves, Welcome to Blakroc, Voice of the Voiceless, Journey to the End of the Night, Hip-Hop: Beyond Beats & Rhymes, Civil Brand, Brown Sugar, Rap Sheet: Hip-Hop and the Cops, Dave Chappelle's Block Party, Re:Generation, Til Infinity: The Souls of Mischief, The Hitchhiker's Guide to the Galaxy, In Prison My Whole Life, 16 Blocks"
Noam Chomsky,"Manufacturing Consent: Noam Chomsky and the Media, De-Interlaced: Surviving the Mess Media, The Weight of Chains 2, ReGeneration, The Myth of the Liberal Media, Pax Americana and the Weaponization of Space, Human Resources Documentary, Gold Fever, The Invisible Class, The 986 Patent, The Greatest Movie Ever Sold, Freeing Silvia Baraldini, Bougainville: Another Colonial War, Warpeace, Occupy: The Movie, Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire, Can We Do It Ourselves?, Ethos, Noam Chomsky: Rebel Without a Pause, Citizen Clark... A Life of Principle, In the Name of My People, 2plus2makes4, Anima Mundi, L'encerclement - La démocratie dans les rets du néolibéralisme, Is the Man Who Is Tall Happy?, Power and Terror: Noam Chomsky in Our Times, Psywar, Split: A Deeper Divide, Out of Place: Memories of Edward Said, I Need That Record! The Death (or Possible Survival) of the Independent Record Store, Hidden in Plain Sight, Dog Years, Last Party 2000, The Money Fix, The Trial of the St. Patrick's Four, Global Haywire, Beyond Borders: The Debate Over Human Migration, Reflections on Media Ethics, Lake of Fire, The Kingdom of Survival, Dead Man Working, In Prison My Whole Life, WBCN and the American Revolution, Project Censored the Movie, Women on the Front Line, Theory & Practice: Conversations with Noam Chomsky & Howard Zinn, Truth in Numbers? Everything, According to Wikipedia, Piigs, Brexitannia, Circle of Poison, American Radical: The Trials of Norman Finkelstein, Journey Into America, American Music: Off the Record, American Zeitgeist, Shadow Nation, Zapatista, The Divide, Left Out: Beyond the Two-Party Horse Race, The World Awaits, Standing Army, Internationally Speaking, Selling God, Third Party, The Revenge of the Dead Indians, In This Climate, MisLead: America's Secret Epidemic, Notes to Eternity, The Organizer, Grammar Revolution, Greasy Rider, Egghead, Uprooted, Plan Colombia: Cashing In on the Drug War Failure, Chomsky & Cie, The Oil Factor: Behind the War on Terror, Rush to War, Brothers and Others, Stupidity, This Is What Democracy Looks Like, I Am, Article 12, The Wind of Al Amal, Public Enemy, Noam Chomsky: Internationalism or Extinction, The Brainwashing of My Dad, Balkan Rhapsodies: 78 Measures of War, Freedom Besieged, Discordia, Requiem for the American Dream"
Andy Bichlbaum,"Everyday Rebellion, The Yes Men Fix the World, Occupy: The Movie, Radical Friends, Mullets and Bars, The Yes Men Are Revolting, The Yes Men"
Barbara Tucker,"Letters from Parliament Square, Brian & Co. Parliament Square SW1, Five Wives, Three Secretaries and Me"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Colin Firth,"What a Girl Wants, When Did You Last See Your Father?, A Christmas Carol, King George VI: The Man Behind the King's Speech, Kingsman: The Secret Service, The Mercy, Apartment Zero, My Life So Far, Tinker Tailor Soldier Spy, Fever Pitch, Gambit, Another Country, Hope Springs, Trauma, A Month in the Country, The Importance of Being Earnest, Playmaker, A Summer in Genoa, Der Weg des Ruhms, The Secret Garden, Valmont, A Single Man, The Advocate, Bridget Jones's Diary, St Trinian's II: The Legend of Fritton's Gold, Devil's Knot, Genius, Fourplay, The Secret Laughter of Women, Then She Found Me, Bridget Jones: The Edge of Reason, Dorian Gray, The Happy Prince, The Last Legion, Girl with a Pearl Earring, The Accidental Husband, Where the Truth Lies, Nanny McPhee, The Railway Man, Before I Go to Sleep, Arthur Newman, Easy Virtue, The King's Speech, Wings of Fame, Relative Values, Kingsman: The Golden Circle, Main Street, Magic in the Moonlight, Femme Fatale"
Donald Pleasence,"The Passover Plot, Tales That Witness Madness, The Rainbow Boys, Soldier Blue, Halloween II, Dracula, The Devonsville Terror, Specters, L'avvoltoio può attendere, Frankenstein's Great Aunt Tillie, Raw Meat, Hearts of the West, Innocent Bystanders, Diên Biên Phú, Phantom of Death, Barry McKenzie Holds His Own, Halloween: The Revenge of Michael Myers, Wedding in White, Treasure of Doom, THX 1138, Alone in the Dark, The House of Usher, River of Death, The Black Windmill, Halloween: The Curse of Michael Myers, Jaguar Lives!, Treasure of the Yankee Zephyr, Warrior of the Lost World, Vampire in Venice, To Kill a Stranger, Good Luck, Miss Wyckoff, La loba y la Paloma, The Advocate, Prince of Darkness, Escape from New York, Ground Zero, Halloween: The Return of Michael Myers, Oh, God!, Phenomena, Sharon's Baby, Hanna's War, Telefon, Last In, First Out, Land of the Minotaur, Henry VIII and His Six Wives, Urban Animals, American risciò, Warrior Queen, Halloween, Terror in the Aisles, A Dirty Knight's Work, Double Target, Night Creature, Wake in Fright, The Pumaman, A Breed Apart, Ten Little Indians, The Commander, Escape to Witch Mountain, Goldenrod, Power Play, Safe Haven, The Mutations, Buried Alive, The Jerusalem File"
Jack Hawkins,"When Eight Bells Toll, Tales That Witness Madness, The Last Lion, Waterloo, The Adventures of Gerard, The Beloved, Young Winston"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
