Actor,Top 3 Movies
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Mickey Rourke,"['Rumble Fish', 'Girl', '9½ Weeks']"
Louis Mandylor,"['Criminal Affairs', 'White Rush', 'Adventures of a Pizza Guy']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Denise Richards,"['Altitude', 'Undercover Brother', 'Good Advice']"
Akshay Kumar,"['Suhaag', 'Dosti: Friends Forever', 'De Dana Dan']"
Jacqueline Fernandez,"['According to Mathew', 'Race 3', 'Kick']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Yasiin Bey,"['Number One with a Bullet', 'The Woodsman', ""Where's Marlowe?""]"
Noam Chomsky,"['Manufacturing Consent: Noam Chomsky and the Media', 'De-Interlaced: Surviving the Mess Media', 'The Weight of Chains 2']"
Andy Bichlbaum,"['Everyday Rebellion', 'The Yes Men Fix the World', 'Occupy: The Movie']"
Barbara Tucker,"['Letters from Parliament Square', 'Brian & Co. Parliament Square SW1', 'Five Wives']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Colin Firth,"['What a Girl Wants', 'When Did You Last See Your Father?', 'A Christmas Carol']"
Donald Pleasence,"['The Passover Plot', 'Tales That Witness Madness', 'The Rainbow Boys']"
Jack Hawkins,"['When Eight Bells Toll', 'Tales That Witness Madness', 'The Last Lion']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Maximilian Schell,"['Telling Lies in America', 'Just Messing About', 'Laughter in the Dark']"
Birol Ünel,"['Head-On', 'Not a Lovestory', 'Deutschland ist... Heim']"
Baki Davrak,"['Crimean', 'Bevor der Tag anbricht', 'The Edge of Heaven']"
Sertaç Ekici,"['Crimean', 'Babaannem', 'Çilgin Kamp']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Ellen Page,"['To Rome with Love', 'Vanishing of the Bees', 'Hard Candy']"
Rebecca Jenkins,"['Whole New Thing', 'South of Wawa', 'Bye Bye Blues']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Julia Roberts,"['Ben Is Back', 'Eat Pray Love', 'Closer']"
Patrick Bergin,"['The Minnitts of Anabeg', 'Angela Mooney', 'Strength and Honour']"
Patrick O'Donnell,"['The Solution', 'Encore', 'Alcatraz']"
Derek Nelson,"['Werewolves of the Third Reich', 'Alcatraz', 'A Killer Next Door']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Mary-Louise Parker,"['Goodbye Lover', 'Jamesy Boy', 'The Maker']"
Jimmy Smits,"['Fires Within', 'Gross Misconduct', 'My Family']"
Patricio Contreras,"['Resurrection', 'Nocturno', 'Sexo con Amor']"
Noemí Ceratto,"['La superdotada', 'Los hombres no deben llorar', 'Crucero de placer']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Peter Gallagher,"['While You Were Sleeping', 'The War Boys', 'Protection']"
Stephen Baldwin,"['The Flintstones in Viva Rock Vegas', 'Kaibigan', 'A Walk with Grace']"
Bill Hutchens,"['Queen of the Redwood Mountains', 'A Summer in Avignon', 'Run Away with Me']"
Wassim Hawat,"['Cross Currents: Journey to Asian Environments', 'The Unhallowed', 'The Magnificent Raiders of Dimension War One']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Steve Guttenberg,"['Alternate Universe: A Rescue Mission', 'Airborne', 'Police Academy 2: Their First Assignment']"
Cengiz Bozkurt,"['Ay Lav Yu', 'Time of happiness', 'Deli Dumrul']"
Sadi Celil Cengiz,"['Olaylar Olaylar', 'Bende Kal', 'Hababam Sinifi Yeniden']"
Selahattin Tasdögen,"['Oglum bak git', 'Biz Bir Dolasalim', 'Deli Isi']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Colin Firth,"['What a Girl Wants', 'When Did You Last See Your Father?', 'A Christmas Carol']"
Aishwarya Rai Bachchan,"['Taal', 'Provoked: A True Story', 'Ae Dil Hai Mushkil']"
Santhanam,"['Idhu Kathirvelan Kadhal', 'Veerasamy', 'A1: Accused No. 1']"
Vishal,"['Malaikottai', 'Thaamirabarani', 'Sathyam']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Fred Ward,"['The Vivero Letter', 'The Player', 'UFOria']"
Keith Carradine,"['Choose Me', 'Bereave', 'Pretty Baby']"
Ernest Borgnine,"['Rain for a Dusty Summer', 'The Last Great Ride', 'Spike of Bensonhurst']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Colin Firth,"['What a Girl Wants', 'When Did You Last See Your Father?', 'A Christmas Carol']"
Michael Caine,"['Kingsman: The Secret Service', 'Beyond the Poseidon Adventure', 'Last Orders']"
Saeed Jaffrey,"['Param Vir Chakra', 'Dil', 'Suryavanshi']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Colin Firth,"['What a Girl Wants', 'When Did You Last See Your Father?', 'A Christmas Carol']"
Jim Broadbent,"['When Did You Last See Your Father?', 'The Lady in the Van', 'Valiant']"
Brenda Emmanus,"['Royal Academy Summer Exhibition', 'The Brits Who Designed the Modern World', 'New Tate Modern Switched On']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Michael Cera,"['Crystal Fairy & the Magical Cactus', 'Extreme Movie', 'Occupy Cannes!']"
Lloyd Kaufman,"['Another Yeti a Love Story: Life on the Streets', 'Vault of Terror II: The Undead', 'Stick 10 Even More Swag: The United League of Stereotypes']"
Brinke Stevens,"['Slimoids', 'Bloodstruck', 'The Summer of Massacre']"
Christy Johnson,"['Superpower', 'Beneath the Old Dark House', 'Orbs: They Are Among Us']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Colin Firth,"['What a Girl Wants', 'When Did You Last See Your Father?', 'A Christmas Carol']"
Andréa Ferréol,"[""L'ombre rouge"", ""One Woman's Lover"", 'Balles perdues']"
Robert Powell,"['Romeo.Juliet', 'Beyond Good and Evil', 'Chunuk Bair']"
Mitra Hajjar,"['Romantic Nostalgia', 'Mozahem', 'The Crime']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Ryan Reynolds,"['Definitely', 'Maybe', 'The Proposal']"
Hiroyuki Sanada,"['The Dagger of Kamui', 'Kotaro makari-toru!', 'Inujini sesi mono']"
Yuki Kazamatsuri,"['Yasashii te', 'Okasare shigan', 'Ushiro kara mae kara']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Bob Hoskins,"['The Sleeping Dictionary', 'Super Mario Bros.', ""Felicia's Journey""]"
Asia Argento,"['Boarding Gate', 'New Rose Hotel', 'B. Monkey']"
Ivan Franek,"['La leggenda di Bob Wind', 'Cloro', 'Unknown Hour']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Kiefer Sutherland,"['The Reluctant Fundamentalist', 'Crazy Moon', 'Chicago Joe and the Showgirl']"
Janeane Garofalo,"['The Search for John Gissing', 'Clay Pigeons', 'The MatchMaker']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Tim Robbins,"['Zathura: A Space Adventure', 'I.Q.', 'The Player']"
Om Puri,"['Policegiri', 'Bazaar E Husn', 'Teen Thay Bhai']"
Shivarajkumar,"['Ratha Sapthami', 'Chigurida Kanasu', 'Mavanige Thakka Aliya']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Gary Oldman,"['Murder in the First', 'True Crime: The Movie', 'Romeo Is Bleeding']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Fred Ward,"['The Vivero Letter', 'The Player', 'UFOria']"
Powers Boothe,"['Nick Nolte: No Exit', 'Rapid Fire', 'Stalingrad']"
Sergey Nikonenko,"['Vremya vashey zhizni', 'Stalingrad', 'V znak protesta']"
Vladimir Steklov,"['Bomzh (Bez opredelyonnogo mesta zhitelstva)', 'Goryachaya tochka', 'Padenie']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Mickey Rourke,"['Rumble Fish', 'Girl', '9½ Weeks']"
Ario Bayu,"['27 Steps of May', 'Banda the Dark Forgotten Trail', '22 Menit']"
Rangga Djoned,"['Sanubari Jakarta', '18+', 'Dilema']"
Deddy Corbuzier,"['The Mentalist', 'Sanubari Jakarta', 'Triangle the Dark Side']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Steve Guttenberg,"['Alternate Universe: A Rescue Mission', 'Airborne', 'Police Academy 2: Their First Assignment']"
Vivica A. Fox,"['Solid State', 'Junkyard Dog', 'bUMS']"
Evan Brinkman,"['The Chrysalis Tide', 'The Owl', 'Doctor Bello']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Robert Patrick,"['The Vivero Letter', 'Back Roads', 'The Marine']"
Charlotte Lewis,"['Dial: Help', 'Healing Hurts', 'Men of War']"
Larry Holden,"['Open Vacancy', 'The Outsider', 'Blood Was Everywhere']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Mary-Louise Parker,"['Goodbye Lover', 'Jamesy Boy', 'The Maker']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Julia Roberts,"['Ben Is Back', 'Eat Pray Love', 'Closer']"
David Brisbin,"['No Picnic', 'Erin Brockovich', 'The Big Blue']"
John Erdman,"['Streetscapes', 'Hotel New York', 'Die Basis des Make-Up']"
Bernd Broaderup,"['Taxi zum Klo', 'Am Arsch der Welt. To have and to be', 'The Holy Bunch']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Michael Gross,"['Power of the Air', 'Quackerz', ""Last Call at Murray's""]"
John Savage,"['Sensory Perception', 'The Deer Hunter', 'Where Truth Lies']"
Gulshan Grover,"['Sher Dil', 'Dushman Zamana', 'Beeper']"
Karma Shakya,"['Sherbahadur', 'Panche Baja', 'Rose']"
Saugat Malla,"['Loot 2', 'Fateko Jutta 2', 'Kabaddi Kabaddi']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Fred Ward,"['The Vivero Letter', 'The Player', 'UFOria']"
Peter Coyote,"['Shadow of Fear', 'Outrageous Fortune', 'Be Home Soon: Letters from My Grandfather']"
The Dalai Lama,"['Bringing Tibet Home', 'Refuge', 'Looking for God']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Mary-Louise Parker,"['Goodbye Lover', 'Jamesy Boy', 'The Maker']"
Martin Donovan,"['The Haunting in Connecticut', 'Flirt', 'Wind Chill']"
Toni Cantó,"['The Universe Montesinos', ""You're My Hero"", 'Valparaíso']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Brendan Fraser,"['The Nut Job', 'The Passion of Darkly Noon', 'The Poison Rose']"
Ronit Roy,"['Pankh', 'Agnishika', 'Ugly']"
